Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
c0001,2.63E+01,1.69E+01,2.67E+01,2.80E+01,3.85E+01,2.76E+01,1.91E+01,2.24E+01,1.85E+01,2.07E+01,1.35E+01,9.78E+00,9.40E+00,1.01E+01,1.14E+01,1.77E+01,1.66E+01,1.68E+01,1.59E+01,1.08E+01,5.90E+01,5.60E+01,6.17E+01,6.59E+01,7.56E+01,6.53E+01,5.78E+01,5.77E+01,5.53E+01,3.68E+01,3.75E+00,3.54E+00,3.30E+00,3.44E+00,3.10E+00,2.03E+00,1.76E+00,1.59E+00,1.68E+00,2.68E+00,2.59E+01,2.36E+01,1.97E+01,2.06E+01,1.83E+01,1.37E+01,1.37E+01,1.30E+01,1.33E+01,2.14E+01
c0002,2.07E+01,1.82E+01,2.06E+01,2.42E+01,2.27E+01,2.81E+01,1.79E+01,2.30E+01,1.94E+01,1.95E+01,1.18E+01,1.30E+01,1.41E+01,1.39E+01,1.51E+01,1.70E+01,1.47E+01,1.63E+01,1.38E+01,1.34E+01,5.49E+01,6.67E+01,7.25E+01,6.13E+01,6.76E+01,8.31E+01,5.52E+01,5.15E+01,4.64E+01,4.16E+01,3.47E+00,2.20E+00,2.23E+00,2.09E+00,2.15E+00,2.54E+00,2.49E+00,2.08E+00,2.31E+00,2.60E+00,2.24E+01,1.24E+01,1.29E+01,1.33E+01,1.52E+01,1.43E+01,1.70E+01,1.59E+01,1.77E+01,1.96E+01
c0003,1.45E+01,7.90E+00,2.02E+01,1.45E+01,2.10E+01,3.68E+01,1.12E+01,1.28E+01,1.73E+01,1.68E+01,2.15E+01,1.66E+01,1.90E+01,1.96E+01,1.88E+01,2.02E+01,1.98E+01,2.28E+01,2.21E+01,1.91E+01,8.73E+01,8.46E+01,1.02E+02,9.45E+01,8.51E+01,1.21E+02,7.90E+01,8.75E+01,9.11E+01,7.16E+01,9.15E-01,1.20E+00,1.03E+00,8.71E-01,8.61E-01,1.10E+00,1.23E+00,7.60E-01,7.69E-01,1.24E+00,6.28E+00,6.17E+00,5.39E+00,5.20E+00,5.51E+00,4.56E+00,7.70E+00,5.37E+00,5.22E+00,7.00E+00
c0004,2.48E+01,1.85E+01,1.84E+01,1.79E+01,2.00E+01,1.77E+01,1.59E+01,1.53E+01,1.49E+01,1.72E+01,1.27E+01,7.99E+00,9.68E+00,1.08E+01,8.07E+00,1.19E+01,1.25E+01,1.37E+01,1.30E+01,1.10E+01,6.91E+01,3.67E+01,4.43E+01,4.71E+01,3.85E+01,5.66E+01,3.96E+01,4.21E+01,4.05E+01,3.55E+01,3.58E+00,3.70E+00,3.19E+00,2.97E+00,3.32E+00,3.34E+00,2.71E+00,2.43E+00,2.53E+00,2.93E+00,2.35E+01,2.70E+01,2.19E+01,2.17E+01,2.32E+01,2.23E+01,2.28E+01,2.11E+01,2.12E+01,2.45E+01
c0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0006,2.42E+01,1.99E+01,2.09E+01,2.51E+01,1.99E+01,2.15E+01,2.56E+01,2.50E+01,2.27E+01,1.97E+01,2.23E+01,1.77E+01,2.01E+01,1.97E+01,1.73E+01,2.08E+01,2.32E+01,2.04E+01,1.93E+01,1.97E+01,1.25E+02,1.13E+02,1.22E+02,1.09E+02,1.20E+02,1.27E+02,1.26E+02,1.19E+02,1.03E+02,1.10E+02,1.55E+00,1.23E+00,1.14E+00,1.13E+00,1.43E+00,1.40E+00,1.10E+00,1.11E+00,1.13E+00,1.37E+00,7.59E+00,5.22E+00,4.99E+00,5.28E+00,5.29E+00,6.05E+00,6.01E+00,5.03E+00,5.80E+00,6.61E+00
c0007,3.26E+01,2.18E+01,2.48E+01,1.77E+01,2.23E+01,3.74E+01,1.88E+01,1.97E+01,1.44E+01,2.10E+01,2.49E+01,2.03E+01,2.06E+01,1.82E+01,2.20E+01,2.43E+01,2.65E+01,2.39E+01,2.42E+01,2.41E+01,1.34E+02,7.85E+01,8.02E+01,7.43E+01,8.50E+01,1.46E+02,8.28E+01,7.23E+01,7.68E+01,7.98E+01,6.95E-01,1.32E-01,6.81E-02,1.80E-01,3.51E-02,9.21E-01,-3.64E-02,7.92E-02,4.82E-02,6.73E-02,4.68E+00,5.08E+00,4.99E+00,4.39E+00,5.82E+00,4.83E+00,5.45E+00,5.31E+00,5.08E+00,5.24E+00
c0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0009,2.44E+01,1.56E+01,1.64E+01,1.92E+01,2.17E+01,2.38E+01,1.96E+01,1.87E+01,1.60E+01,2.19E+01,1.22E+01,8.75E+00,1.05E+01,1.09E+01,1.13E+01,1.47E+01,1.11E+01,1.16E+01,1.29E+01,9.25E+00,5.31E+01,3.54E+01,3.88E+01,4.40E+01,5.00E+01,4.93E+01,3.87E+01,4.00E+01,4.21E+01,3.30E+01,3.76E+00,3.64E+00,2.96E+00,2.59E+00,2.72E+00,2.70E+00,2.88E+00,2.79E+00,2.16E+00,3.38E+00,2.66E+01,2.94E+01,2.31E+01,1.83E+01,1.85E+01,2.21E+01,2.34E+01,2.27E+01,1.81E+01,2.84E+01
c0010,3.54E+01,9.49E+01,8.91E+01,8.73E+01,8.64E+01,3.81E+01,1.87E+01,2.24E+01,1.77E+01,2.54E+01,2.84E+01,2.68E+01,2.72E+01,2.65E+01,2.50E+01,2.61E+01,2.32E+01,2.46E+01,2.43E+01,2.41E+01,1.70E+02,1.79E+02,1.93E+02,2.10E+02,2.14E+02,1.84E+02,1.19E+02,1.20E+02,1.18E+02,1.21E+02,2.67E-02,-2.74E-01,-1.85E-01,-3.77E-02,1.41E-01,6.12E-01,3.81E-01,2.90E-01,2.56E-01,4.93E-01,2.49E+00,2.45E+00,2.45E+00,2.33E+00,2.28E+00,3.33E+00,3.49E+00,3.72E+00,3.61E+00,3.91E+00
