Theta,Layer 1 Depth,Layer 2 Depth,Number of Trainign Steps,Batch Size,Dropout Prob,Weight Penalty,Training Accuracy,Validation Accuracy,Testing Accuracy,Sensitivity,Specificity,Mean Accuracy
0,16,16,3401,100,0.9,0.01,91.24%,89.61%,94.25%,89.13%,90.10%,89.61%
0.2,16,16,3401,100,0.9,0.01,91.74%,89.61%,94.05%,87.92%,91.30%,89.61%
0.4,16,16,3401,100,0.9,0.01,91.62%,89.98%,93.85%,89.86%,90.10%,89.98%
0.6,16,16,3401,100,0.9,0.01,90.77%,88.04%,91.07%,88.41%,87.68%,88.04%
0,16,32,3401,100,0.9,0.01,88.82%,85.75%,91.67%,84.78%,86.71%,85.75%
0.2,16,32,3401,100,0.9,0.01,91.53%,87.80%,92.66%,84.30%,91.30%,87.80%
0.4,16,32,3401,100,0.9,0.01,90.94%,89.37%,94.84%,88.41%,89.13%,88.77%
0.6,16,32,3401,100,0.9,0.01,89.85%,87.68%,92.06%,88.41%,85.51%,86.96%
0,16,48,3401,100,0.9,0.01,91.42%,89.86%,93.45%,88.41%,91.30%,89.86%
0.2,16,48,3401,100,0.9,0.01,90.00%,87.56%,93.25%,84.06%,91.06%,87.56%
0.4,16,48,3401,100,0.9,0.01,91.03%,88.65%,92.26%,85.51%,91.06%,88.29%
0.6,16,48,3401,100,0.9,0.01,92.30%,90.34%,93.85%,88.41%,91.55%,89.98%
0,32,16,3401,100,0.9,0.01,90.12%,89.13%,94.05%,88.16%,90.10%,89.13%
0.2,32,16,3401,100,0.9,0.01,91.50%,89.25%,93.45%,87.20%,91.30%,89.25%
0.4,32,16,3401,100,0.9,0.01,92.24%,91.43%,94.84%,91.55%,91.30%,91.43%
0.6,32,16,3401,100,0.9,0.01,91.89%,89.49%,94.64%,86.47%,92.51%,89.49%
0,32,32,3401,100,0.9,0.01,90.44%,89.98%,93.65%,87.44%,92.51%,89.98%
0.2,32,32,3401,100,0.9,0.01,91.42%,89.61%,94.25%,88.16%,91.06%,89.61%
0.4,32,32,3401,100,0.9,0.01,91.03%,89.98%,94.44%,87.68%,92.27%,89.98%
0.6,32,32,3401,100,0.9,0.01,92.18%,90.34%,94.05%,89.13%,91.79%,90.46%
0,32,48,3401,100,0.9,0.01,91.92%,91.55%,94.64%,90.10%,93.00%,91.55%
0.2,32,48,3401,100,0.9,0.01,91.83%,89.86%,94.84%,90.10%,89.61%,89.86%
