Sureness Threshold,Number of steps,Batch Size,C,gamma,PCA,Train Accuracy,Validation Accuracy,Testing Accuracy,Sensitivity,Specificity,Mean Accuracy
0.6,3401,200,1,-0.1,FALSE,80.53%,80.19%,85.32%,87.44%,73.67%,80.56%
0.6,500,200,1,-0.1,FALSE,20.38%,21.62%,15.67%,17.39%,26.57%,21.98%
0.6,1000,200,1,-0.1,FALSE,57.96%,56.64%,59.52%,29.23%,84.78%,57.00%
0.6,1500,200,1,-0.1,FALSE,78.02%,76.33%,84.72%,75.60%,77.78%,76.69%
0.6,2000,200,1,-0.1,FALSE,76.90%,74.64%,81.35%,68.12%,81.88%,75.00%
0.6,2500,200,1,-0.1,FALSE,26.64%,26.81%,19.84%,30.92%,23.43%,27.17%
0.6,3000,200,1,-0.1,FALSE,77.02%,71.26%,78.37%,61.11%,82.13%,71.62%
0.6,3500,200,1,-0.1,FALSE,80.06%,78.74%,82.94%,81.16%,77.05%,79.11%
0.6,4000,200,1,-0.1,FALSE,77.23%,76.33%,84.33%,83.82%,69.57%,76.69%
0.6,4500,200,1,-0.1,FALSE,81.89%,80.07%,85.91%,90.58%,70.29%,80.43%
0.6,5000,200,1,-0.1,FALSE,79.76%,78.74%,84.92%,84.54%,73.67%,79.11%
0.6,3401,100,1,-0.1,FALSE,76.96%,74.15%,77.58%,85.51%,63.53%,74.52%
0.6,3401,200,1,-0.1,FALSE,79.68%,79.95%,85.12%,83.82%,76.81%,80.31%
0.6,3401,300,1,-0.1,FALSE,18.20%,19.32%,12.50%,14.25%,25.12%,19.69%
0.6,3401,400,1,-0.1,FALSE,21.45%,23.43%,13.10%,20.29%,27.29%,23.79%
0.6,3401,500,1,-0.1,FALSE,23.36%,26.21%,21.63%,23.91%,29.23%,26.57%
0.6,3401,600,1,-0.1,FALSE,33.24%,30.43%,30.56%,43.00%,18.60%,30.80%
0.6,3401,700,1,-0.1,FALSE,30.38%,31.40%,24.01%,22.95%,40.58%,31.76%
0.6,3401,800,1,-0.1,FALSE,31.18%,30.80%,27.78%,23.19%,38.41%,30.80%
0.6,3401,900,1,-0.1,FALSE,30.32%,28.50%,24.40%,23.43%,34.30%,28.86%
0.6,3401,1000,1,-0.1,FALSE,39.62%,43.84%,40.87%,34.30%,54.11%,44.20%
0,3401,200,1,0.00001,FALSE,50.00%,50.00%,50.00%,0.00%,100.00%,50.00%
0.5,3401,200,1,0.00001,FALSE,50.00%,50.00%,50.00%,0.00%,100.00%,50.00%
1,3401,200,1,0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
1.5,3401,200,1,0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
0,3401,200,1,0.0001,FALSE,50.06%,50.24%,50.00%,100.00%,0.48%,50.24%
0.5,3401,200,1,0.0001,FALSE,58.02%,58.09%,59.13%,21.26%,94.93%,58.09%
1,3401,200,1,0.0001,FALSE,61.50%,62.68%,64.29%,18.60%,10.14%,14.37%
1.5,3401,200,1,0.0001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
0,3401,200,1,0.001,FALSE,53.63%,53.14%,50.99%,17.63%,88.65%,53.14%
0.5,3401,200,1,0.001,FALSE,62.51%,62.20%,61.31%,40.34%,84.06%,62.20%
1,3401,200,1,0.001,FALSE,62.15%,59.90%,58.73%,18.60%,10.14%,14.37%
1.5,3401,200,1,0.001,FALSE,60.68%,61.84%,60.71%,18.60%,10.14%,14.37%
0,3401,200,1,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
0.5,3401,200,1,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
1,3401,200,1,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
1.5,3401,200,1,0.01,FALSE,0.00%,0.00%,0.00%,18.60%,10.14%,14.37%
0,3401,200,3.162278,0.00001,FALSE,50.00%,50.00%,50.00%,100.00%,0.00%,50.00%
0.5,3401,200,3.162278,0.00001,FALSE,50.00%,50.00%,50.00%,100.00%,0.00%,50.00%
1,3401,200,3.162278,0.00001,FALSE,50.00%,50.00%,50.00%,18.60%,10.14%,14.37%
